Date,Infected,Deaths,Recovered
22/01/2020,0,0,0
23/01/2020,0,0,0
24/01/2020,0,0,0
25/01/2020,0,0,0
26/01/2020,0,0,0
27/01/2020,0,0,0
28/01/2020,0,0,0
29/01/2020,0,0,0
30/01/2020,0,0,0
31/01/2020,2,0,0
01/02/2020,2,0,0
02/02/2020,2,0,0
03/02/2020,2,0,0
04/02/2020,2,0,0
05/02/2020,2,0,0
06/02/2020,2,0,0
07/02/2020,3,0,0
08/02/2020,3,0,0
09/02/2020,3,0,0
10/02/2020,3,0,0
11/02/2020,3,0,0
12/02/2020,3,0,0
13/02/2020,3,0,0
14/02/2020,3,0,0
15/02/2020,3,0,0
16/02/2020,3,0,0
17/02/2020,3,0,0
18/02/2020,3,0,0
19/02/2020,3,0,0
20/02/2020,3,0,0
21/02/2020,20,1,0
22/02/2020,62,2,1
23/02/2020,155,3,2
24/02/2020,229,7,1
25/02/2020,322,10,1
26/02/2020,453,12,2
27/02/2020,655,17,45
28/02/2020,888,21,46
29/02/2020,1128,29,46
01/03/2020,1694,34,83
02/03/2020,2036,52,149
03/03/2020,2502,79,160
04/03/2020,3089,107,276
05/03/2020,3858,148,414
06/03/2020,4637,197,523
07/03/2020,5884,233,589
08/03/2020,7376,366,622
09/03/2020,9173,463,724
10/03/2020,10149,631,724
11/03/2020,12462,827,1045
12/03/2020,12462,827,1045
13/03/2020,17660,1266,1439
14/03/2020,21157,1441,1966
15/03/2020,24747,1809,2335
16/03/2020,27980,2158,2749
17/03/2020,31506,2503,2941
18/03/2020,35713,2978,4025
19/03/2020,41035,3405,4440
20/03/2020,47021,4032,4440
21/03/2020,53578,4825,6072
22/03/2020,59138,5476,7024
23/03/2020,63927,6077,7432
24/03/2020,69176,6820,8326
25/03/2020,74386,7503,9362
26/03/2020,74386,7503,9362
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
