Date,Infected,Deaths,Recovered
22/01/2020,1,0,0
23/01/2020,1,0,0
24/01/2020,2,0,0
25/01/2020,2,0,0
26/01/2020,5,0,0
27/01/2020,5,0,0
28/01/2020,5,0,0
29/01/2020,5,0,0
30/01/2020,5,0,0
31/01/2020,6,0,0
01/02/2020,8,0,0
02/02/2020,8,0,0
03/02/2020,11,0,0
04/02/2020,11,0,0
05/02/2020,12,0,0
06/02/2020,12,0,0
07/02/2020,12,0,0
08/02/2020,12,0,0
09/02/2020,12,0,3
10/02/2020,12,0,3
11/02/2020,13,0,3
12/02/2020,13,0,3
13/02/2020,15,0,3
14/02/2020,15,0,3
15/02/2020,15,0,3
16/02/2020,15,0,3
17/02/2020,15,0,3
18/02/2020,15,0,3
19/02/2020,15,0,3
20/02/2020,15,0,3
21/02/2020,35,0,5
22/02/2020,35,0,5
23/02/2020,35,0,5
24/02/2020,53,0,5
25/02/2020,53,0,6
26/02/2020,59,0,6
27/02/2020,60,0,6
28/02/2020,62,0,7
29/02/2020,70,1,7
01/03/2020,76,1,7
02/03/2020,101,6,7
03/03/2020,122,7,8
04/03/2020,153,11,8
05/03/2020,221,12,8
06/03/2020,278,14,8
07/03/2020,417,17,8
08/03/2020,537,21,8
09/03/2020,605,22,9
10/03/2020,942,28,9
11/03/2020,1281,34,8
12/03/2020,1636,40,11
13/03/2020,2179,47,12
14/03/2020,2726,54,12
15/03/2020,3499,63,12
16/03/2020,4632,85,17
17/03/2020,6421,108,17
18/03/2020,7786,118,106
19/03/2020,13680,200,108
20/03/2020,19101,244,147
21/03/2020,25493,307,171
22/03/2020,33276,417,178
23/03/2020,43667,552,0
24/03/2020,53740,706,348
25/03/2020,65778,942,361
26/03/2020,69197,1046,619
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
